nome,ruolo,squadra,quotazione
Carnesecchi Marco,Por,Atalanta,19
Rossi Francesco,Por,Atalanta,1
Sportiello Marco,Por,Atalanta,1
Pessina Massimo,Por,Bologna,1
Ravaglia Federico,Por,Bologna,1
Skorupski Lukasz,Por,Bologna,1
Caprile Elia,Por,Cagliari,12
Butez Jean,Por,Como,11
Cavlina Nikola,Por,Como,1
Menke Henrique,Por,Como,1
Tornqvist Noel,Por,Como,1
Vigorito Mauro,Por,Como,1
Audero Emil,Por,Cremonese,10
Nava Lapo,Por,Cremonese,1
Silvestri Marco,Por,Cremonese,1
Christensen Oliver,Por,Fiorentina,1
De Gea David,Por,Fiorentina,16
Bijlow Justin,Por,Genoa,12
Leali Nicola,Por,Genoa,1
Siegrist Benjamin,Por,Genoa,1
Sommariva Daniele,Por,Genoa,1
Di Gennaro Raffaele,Por,Inter,2
Martinez Josep,Por,Inter,1
Sommer Yann,Por,Inter,12
Di Gregorio Michele,Por,Juventus,9
Perin Mattia,Por,Juventus,1
Pinsoglio Carlo,Por,Juventus,1
Furlanetto Alessio,Por,Lazio,2
Motta Edoardo,Por,Lazio,3
Provedel Ivan,Por,Lazio,7
Falcone Wladimiro,Por,Lecce,15
Fruchtl Christian,Por,Lecce,1
Samooja Jasper,Por,Lecce,1
Maignan Mike,Por,Milan,17
Terracciano Pietro,Por,Milan,1
Torriani Lorenzo,Por,Milan,1
Contini Nikita,Por,Napoli,1
Meret Alex,Por,Napoli,2
Milinkovic Savic Vanja,Por,Napoli,7
Corvi Edoardo,Por,Parma,1
Rinaldi Filippo,Por,Parma,1
Suzuki Zion,Por,Parma,6
Nicolas,Por,Pisa,1
Scuffet Simone,Por,Pisa,1
Semper Adrian,Por,Pisa,5
Gollini Pierluigi,Por,Roma,1
Svilar Mile,Por,Roma,18
Vasquez Devis,Por,Roma,1
Zelezny Radoslaw,Por,Roma,1
Muric Arijanet,Por,Sassuolo,7
Satalino Giacomo,Por,Sassuolo,1
Turati Stefano,Por,Sassuolo,4
Zacchi Gioele,Por,Sassuolo,1
Israel Franco,Por,Torino,1
Paleari Alberto,Por,Torino,9
Plaia Francesco,Por,Torino,1
Malusa Joel,Por,Udinese,1
Mosca Federico,Por,Udinese,1
Nunziante Alessandro,Por,Udinese,1
Okoye Maduka,Por,Udinese,11
Padelli Daniele,Por,Udinese,1
Sava Razvan,Por,Udinese,1
Borghi Arthur,Por,Verona,1
Montipo Lorenzo,Por,Verona,10
Perilli Simone,Por,Verona,1
Ahanor Honest,D,Atalanta,4
Bellanova Raoul,D,Atalanta,1
Bernasconi Lorenzo,D,Atalanta,4
Djimsiti Berat,D,Atalanta,6
Hien Isak,D,Atalanta,2
Kolasinac Sead,D,Atalanta,5
Koussounou Odilon,D,Atalanta,1
Scalvini Giorgio,D,Atalanta,8
Zappacosta Davide,D,Atalanta,17
Bonifazi Kevin,D,Bologna,1
Casale Nicolo,D,Bologna,1
De Silvestri Lorenzo,D,Bologna,1
Heggem Torbjorn,D,Bologna,2
Helland Eivind,D,Bologna,3
Ilic Mihajlo,D,Bologna,1
Joao Mario,D,Bologna,3
Lucumi Jhon,D,Bologna,8
Lykogiannis Charalampos,D,Bologna,1
Markovic Petar,D,Bologna,1
Miranda Juan,D,Bologna,10
Vitik Martin,D,Bologna,1
Zortea Nadir,D,Bologna,8
Dossena Alberto,D,Cagliari,4
Idrissi Riyad,D,Cagliari,1
Mina Yerry,D,Cagliari,6
Obert Adam,D,Cagliari,9
Palestra Marco,D,Cagliari,13
Rodriguez Juan,D,Cagliari,2
Zappa Gabriele,D,Cagliari,3
Ze Pedro,D,Cagliari,6
De Paula Lorenzo,D,Como,1
Diego Carlos,D,Como,7
Goldaniga Edoardo,D,Como,1
Kempf Marc-Oliver,D,Como,10
Moreno Alberto,D,Como,4
Ramon Jacobo,D,Como,8
Sergi Roberto,D,Como,1
Smolcic Hrvoje,D,Como,6
Valle Alex,D,Como,7
Van der Brempt Ignace,D,Como,2
Vojvoda Mergim,D,Como,3
Barbieri Tommaso,D,Cremonese,3
Baschirotto Federico,D,Cremonese,5
Bianchetti Matteo,D,Cremonese,4
Ceccherini Federico,D,Cremonese,1
Floriani Mussolini,D,Cremonese,4
Folino Francesco,D,Cremonese,1
Luperto Sebastiano,D,Cremonese,9
Pezzella Giuseppe,D,Cremonese,5
Comuzzo Pietro,D,Fiorentina,2
Dodo,D,Fiorentina,16
Fortini Niccolo,D,Fiorentina,1
Gosens Robin,D,Fiorentina,9
Koaudio Eddy,D,Fiorentina,1
Kospo Eman,D,Fiorentina,1
Lamptey Tariq,D,Fiorentina,1
Parisi Fabiano,D,Fiorentina,6
Pongracic Marin,D,Fiorentina,7
Ranieri Luca,D,Fiorentina,8
Rugani Daniele,D,Fiorentina,1
Marcandalli Alessandro,D,Genoa,9
Martin Aaron,D,Genoa,6
Norton Cuffy Brooke,D,Genoa,1
Ostigard Leo,D,Genoa,13
Otoa Sebastian,D,Genoa,2
Sabelli Stefano,D,Genoa,1
Vasquez Johan,D,Genoa,12
Zatterstrom Nils,D,Genoa,1
Acerbi Francesco,D,Inter,3
Akanji Manuel,D,Inter,15
Bastoni Alessandro,D,Inter,12
Bisseck Aurel Ludger,D,Inter,9
Carlos Augusto,D,Inter,6
Darmian Matteo,D,Inter,2
De Vrij Stefan,D,Inter,2
Dimarco Federico,D,Inter,42
Dumfries Denzel,D,Inter,9
Luis Henrique,D,Inter,7
Bremer Gleison,D,Juventus,16
Cabal Juan,D,Juventus,1
Cambiaso Andrea,D,Juventus,21
Gatti Federico,D,Juventus,1
Holm Emil,D,Juventus,3
Kalulu Pierre,D,Juventus,18
Kelly Lloyd,D,Juventus,12
Gigot Samuel,D,Lazio,1
Gila Mario Fuentes,D,Lazio,7
Hysaj Elseid,D,Lazio,1
Lazzari Manuel,D,Lazio,1
Marusic Adam,D,Lazio,8
Patric,D,Lazio,4
Pellegrini Luca,D,Lazio,1
Provstgaard Oliver,D,Lazio,6
Romagnoli Alessio,D,Lazio,7
Tavares Nuno,D,Lazio,7
Gallo Antonino,D,Lecce,11
Gaspar Kialonda,D,Lecce,1
Jean Gaby,D,Lecce,2
Ndaba Corrie,D,Lecce,1
Perez Matias,D,Lecce,1
Rashidi William,D,Lecce,1
Scott Elijah,D,Lecce,1
Siebert Jamil,D,Lecce,7
Tiago Gabriel,D,Lecce,12
Veiga Danilo,D,Lecce,8
Athekame Zachary,D,Milan,5
Bartasaghi Davide,D,Milan,8
Estupinan Pervis,D,Milan,1
Gabbia Matteo,D,Milan,4
Odogu David,D,Milan,1
Pavlovic Strahinja,D,Milan,23
Tomori Fikayo,D,Milan,10
Beukema Sam,D,Napoli,6
Buongiorno Alessandro,D,Napoli,8
Di Lorenzo Giovanni,D,Napoli,9
Gutierrez Miguel,D,Napoli,6
Juan Jesus,D,Napoli,1
Mazzocchi Pasquale,D,Napoli,2
