nome,ruolo,ruolo_mantra,squadra,quotazione_iniziale,quotazione_attuale,fonte
Martinez L.,A,Pc,INT,34,33,serie_a
Thuram,A,Pc,INT,29,32,serie_a
Dimarco,D,E,INT,19,30,serie_a
Hojlund,A,Pc,NAP,24,27,serie_a
Paz N.,C,T;A,COM,20,26,serie_a
Douvikas,A,Pc,COM,8,26,serie_a
Yildiz,A,A,JUV,24,26,serie_a
McTominay,C,C;T,NAP,26,25,serie_a
Berardi,A,A,SAS,21,25,serie_a
Malen,A,A,ROM,14,25,serie_a
Baturina,C,T,COM,9,24,serie_a
Calhanoglu,C,M;C,INT,23,24,serie_a
Krstovic,A,Pc,ATA,20,24,serie_a
Pulisic,C,T;A,MIL,28,24,serie_a
Davis K.,A,Pc,UDI,12,24,serie_a
Scamacca,A,Pc,ATA,19,23,serie_a
Rabiot,C,C;T,MIL,23,23,serie_a
Bonazzoli,A,A,CRE,1,22,serie_a
Esposito F.P.,A,Pc,INT,7,22,serie_a
Simeone,A,Pc,TOR,8,22,serie_a
Esposito Se.,A,A,CAG,7,21,serie_a
De Bruyne,C,T,NAP,23,21,serie_a
Laurientè,A,A,SAS,15,21,serie_a
Da Cunha,C,C;W;T,COM,12,20,serie_a
Zielinski,C,C;T,INT,4,20,serie_a
Bonny,A,Pc,INT,5,20,serie_a
Bremer,D,Dc,JUV,13,20,serie_a
Leao,A,A,MIL,24,20,serie_a
Soulè,A,A,ROM,20,20,serie_a
Atta,C,C,UDI,6,20,serie_a
Ndoye*,C,W,BOL,19,19,serie_a
Orsolini,C,W;A,BOL,30,19,serie_a
Zaniolo,C,T;A,UDI,11,19,serie_a
Carnesecchi,P,Por,ATA,14,18,serie_a
Barella,C,C,INT,14,18,serie_a
McKennie,C,M;C,JUV,10,18,serie_a
Conceicao,C,W;A,JUV,18,18,serie_a
Castellanos*,A,Pc,LAZ,21,18,serie_a
Modric,C,C,MIL,12,18,serie_a
Pellegrino M.,A,Pc,PAR,13,18,serie_a
Nkunku,A,A,MIL,20,18,serie_a
Castro S.,A,Pc,BOL,19,17,serie_a
Mandragora,C,M;C,FIO,14,17,serie_a
Pavlovic,D,Dc,MIL,7,17,serie_a
Milinkovic-Savic V.,P,Por,NAP,4,17,serie_a
Svilar,P,Por,ROM,15,17,serie_a
Konè I.,C,M;C,SAS,6,17,serie_a
Vlasic,C,T,TOR,15,17,serie_a
Palestra,D,E,CAG,3,16,serie_a
De Ketelaere,A,A,ATA,22,16,serie_a
Butez,P,Por,COM,10,16,serie_a
Kempf,D,Dc,COM,5,16,serie_a
Perrone,C,M;C,COM,8,16,serie_a
Kean,A,Pc,FIO,33,16,serie_a
Messias,C,C;W,GEN,8,16,serie_a
Vlahovic,A,Pc,JUV,24,16,serie_a
Isaksen,C,W;A,LAZ,14,16,serie_a
Pedro,A,A,LAZ,13,16,serie_a
Maignan,P,Por,MIL,16,16,serie_a
Spinazzola,D,Ds;E,NAP,7,16,serie_a
Moreo,A,A,PIS,5,16,serie_a
Pinamonti,A,Pc,SAS,16,16,serie_a
Adams C.,A,A,TOR,14,16,serie_a
Thauvin*,A,A,UDI,16,16,serie_a
Vardy,A,Pc,CRE,15,16,serie_a
Scalvini,D,Dc,ATA,8,15,serie_a
Rodriguez Je.,A,W;A,COM,5,15,serie_a
Malinovskyi,C,C;T,GEN,8,15,serie_a
Bisseck,D,Dc,INT,9,15,serie_a
Di Gregorio,P,Por,JUV,16,15,serie_a
Falcone,P,Por,LEC,6,15,serie_a
Banda,A,W;A,LEC,5,15,serie_a
Saelemaekers,C,E;W,MIL,12,15,serie_a
Zambo Anguissa,C,M;C,NAP,15,15,serie_a
Raspadori,A,A,ATA,13,15,serie_a
Lukaku,A,Pc,NAP,31,15,serie_a
Bernabè,C,C,PAR,11,15,serie_a
Mancini,D,Dc,ROM,11,15,serie_a
Thorstvedt,C,C;T,SAS,8,15,serie_a
Ostigard,D,Dc,GEN,5,15,serie_a
Rowe,C,W;T,BOL,14,15,serie_a
Lookman*,A,A,ATA,29,14,serie_a
Colombo,A,Pc,GEN,12,14,serie_a
Zalewski,C,E;W,ATA,6,14,serie_a
Mkhitaryan,C,C;T,INT,9,14,serie_a
Kalulu,D,Dd;Dc,JUV,9,14,serie_a
Thuram K.,C,M;C,JUV,16,14,serie_a
Noslin,A,A,LAZ,7,14,serie_a
Celik,D,B;Dd;E,ROM,7,14,serie_a
Wesley,D,E,ROM,14,14,serie_a
Pisilli,C,C,ROM,7,14,serie_a
Okoye,P,Por,UDI,6,14,serie_a
Solet,D,Dc,UDI,11,14,serie_a
Ekkelenkamp,C,C;T,UDI,10,14,serie_a
Orban G.,A,Pc,VER,15,14,serie_a
Taylor K.,C,C;T,LAZ,14,14,serie_a
Ederson D.S.,C,M;C,ATA,15,13,serie_a
Bernardeschi,C,W;A,BOL,9,13,serie_a
Odgaard,C,T;A,BOL,16,13,serie_a
Gaetano,C,T,CAG,8,13,serie_a
Caqueret,C,C;T,COM,12,13,serie_a
Strefezza,C,W;A,PAR,10,13,serie_a
Vazquez*,C,T;A,CRE,10,13,serie_a
Gudmundsson A.,C,T;A,FIO,24,13,serie_a
Vitinha O.,A,Pc,GEN,12,13,serie_a
Sommer,P,Por,INT,16,13,serie_a
Bastoni,D,Dc,INT,16,13,serie_a
David,A,Pc,JUV,27,13,serie_a
Guendouzi*,C,C,LAZ,11,13,serie_a
Zaccagni,C,W;A,LAZ,26,13,serie_a
Coulibaly L.,C,M;C,LEC,7,13,serie_a
Politano,C,W,NAP,15,13,serie_a
Lang*,A,A,NAP,19,13,serie_a
Hermoso,D,Dc,ROM,3,13,serie_a
Rensch,D,B;Dd;E,ROM,5,13,serie_a
Cristante,C,M;C,ROM,9,13,serie_a
Konè M.,C,M;C,ROM,14,13,serie_a
Pellegrini Lo.,C,C;T,ROM,11,13,serie_a
Dybala,A,A,ROM,26,13,serie_a
Volpato,C,W;T,SAS,5,13,serie_a
Casadei,C,C;T,TOR,12,13,serie_a
Giovane,A,A,NAP,1,13,serie_a
Kilicsoy,A,A,CAG,6,13,serie_a
Akanji,D,Dc,INT,9,13,serie_a
Zappacosta,D,E,ATA,13,12,serie_a
Pasalic,C,C;T,ATA,9,12,serie_a
Cambiaghi,A,A,BOL,11,12,serie_a
Caprile,P,Por,CAG,7,12,serie_a
Diao,A,W;A,COM,17,12,serie_a
Audero,P,Por,CRE,5,12,serie_a
De Gea,P,Por,FIO,14,12,serie_a
Thorsby,C,C;T,CRE,5,12,serie_a
Ekuban,A,A,GEN,2,12,serie_a
Dumfries,D,E,INT,20,12,serie_a
Locatelli,C,M;C,JUV,12,12,serie_a
Gimenez,A,Pc,MIL,25,12,serie_a
N'Dicka,D,Dc,ROM,10,12,serie_a
Montipò,P,Por,VER,5,12,serie_a
Santos A.,C,W;A,NAP,7,12,serie_a
Skorupski,P,Por,BOL,10,11,serie_a
Borrelli,A,Pc,CAG,5,11,serie_a
Vandeputte,C,W;T,CRE,12,11,serie_a
Gosens,D,E,FIO,18,11,serie_a
Fagioli,C,C,FIO,8,11,serie_a
Vasquez,D,Ds;Dc,GEN,9,11,serie_a
Sucic P.,C,C,INT,9,11,serie_a
Kelly L.,D,Ds;Dc,JUV,7,11,serie_a
Gonzalez N.*,A,W;A,JUV,12,11,serie_a
Provedel,P,Por,LAZ,12,11,serie_a
Cataldi,C,M;C,LAZ,5,11,serie_a
Basic,C,C,LAZ,1,11,serie_a
Cancellieri,A,W;A,LAZ,3,11,serie_a
Ricci S.,C,M;C,MIL,10,11,serie_a
Rrahmani,D,Dc,NAP,11,11,serie_a
Suzuki,P,Por,PAR,7,11,serie_a
Valeri,D,Ds;E,PAR,10,11,serie_a
Keita M.,C,M;C,PAR,6,11,serie_a
Man*,C,W;A,PAR,11,11,serie_a
Kristensen T.,D,Dd;Dc,UDI,5,11,serie_a
Athekame,D,Dd;E,MIL,6,11,serie_a
Cheddira,A,Pc,LEC,4,11,serie_a
Harrison,C,W,FIO,10,11,serie_a
Boga,A,W;A,JUV,6,11,serie_a
Brescianini,C,C;T,FIO,8,10,serie_a
Maldini,C,T;A,LAZ,9,10,serie_a
Holm,D,Dd;E,JUV,8,10,serie_a
Miranda J.,D,Ds;E,BOL,9,10,serie_a
Folorunsho,C,C;T,CAG,9,10,serie_a
Vojvoda,D,Dd;E,COM,6,10,serie_a
Valle,D,Ds;E,COM,6,10,serie_a
Okereke,A,A,CRE,5,10,serie_a
Dodò,D,E,FIO,11,10,serie_a
Martin,D,Ds;E,GEN,10,10,serie_a
Ekhator,A,A,GEN,1,10,serie_a
Carlos Augusto,D,B;Ds;E,INT,10,10,serie_a
Tiago Gabriel,D,Dc,LEC,1,10,serie_a
Gallo,D,Ds;E,LEC,5,10,serie_a
Bartesaghi,D,Ds;E,MIL,3,10,serie_a
Fofana Y.,C,M;C,MIL,11,10,serie_a
Loftus-Cheek,C,C;T,MIL,8,10,serie_a
Beukema,D,Dc,NAP,10,10,serie_a
Di Lorenzo,D,Dd;E,NAP,14,10,serie_a
Lobotka,C,M;C,NAP,9,10,serie_a
Neres,C,W;A,NAP,13,10,serie_a
Delprato,D,B;Dd;E,PAR,8,10,serie_a
Leris,C,W,PIS,2,10,serie_a
Dovbyk,A,Pc,ROM,21,10,serie_a
Ferguson E.,A,Pc,ROM,19,10,serie_a
Kabasele,D,Dc,UDI,3,10,serie_a
Mazzitelli,C,M;C,CAG,5,10,serie_a
Ramon,D,Dc,COM,4,10,serie_a
Nzola,A,Pc,SAS,12,10,serie_a
Muric,P,Por,SAS,3,10,serie_a
Belghali,D,Dd;E,VER,4,10,serie_a
Gutierrez,D,Ds;E,NAP,8,10,serie_a
Fullkrug,A,Pc,MIL,13,10,serie_a
Durosinmi,A,Pc,PIS,15,10,serie_a
Obrador,D,Ds;E,TOR,6,10,serie_a
Bijlow,P,Por,GEN,10,10,serie_a
Bowie,A,A,VER,6,10,serie_a
De Roon,C,M;C,ATA,12,9,serie_a
Samardzic,C,T,ATA,12,9,serie_a
Sulemana K.,A,A,ATA,9,9,serie_a
Posch*,D,Dd;Dc,COM,5,9,serie_a
Moro N.,C,M;C,BOL,3,9,serie_a
Mina,D,Dc,CAG,7,9,serie_a
Piccoli,A,Pc,FIO,17,9,serie_a
Moreno Alb.,D,Ds;E,COM,3,9,serie_a
Ndour,C,M;C,FIO,2,9,serie_a
Leali,P,Por,GEN,8,9,serie_a
Frendrup,C,M;C,GEN,9,9,serie_a
Cambiaso,D,E,JUV,15,9,serie_a
Kostic,C,E;W,JUV,4,9,serie_a
Baschirotto,D,Dc,CRE,8,9,serie_a
Corvi,P,Por,PAR,1,9,serie_a
Angori,D,Ds;E,PIS,5,9,serie_a
El Shaarawy,C,W,ROM,8,9,serie_a
Baldanzi,C,T;A,GEN,8,9,serie_a
Paleari,P,Por,TOR,1,9,serie_a
Coco,D,Dc,TOR,8,9,serie_a
Ngonge*,A,A,TOR,9,9,serie_a
Karlstrom,C,M;C,UDI,6,9,serie_a
Bernasconi,D,E,ATA,1,9,serie_a
Zhegrova,C,W,JUV,19,9,serie_a
Ratkov,A,Pc,LAZ,15,9,serie_a
Gandelman,C,C;T,LEC,6,9,serie_a
Freuler,C,M;C,BOL,11,8,serie_a
Pobega,C,M;C,BOL,8,8,serie_a
Luperto,D,Dc,CRE,7,8,serie_a
Zortea,D,E,BOL,16,8,serie_a
Adopo,C,M;C,CAG,5,8,serie_a
Ellertsson,C,C;W,GEN,5,8,serie_a
Pavard*,D,Dd;Dc,INT,8,8,serie_a
Luis Henrique,C,E;W,INT,7,8,serie_a
Perin,P,Por,JUV,1,8,serie_a
Gila,D,Dc,LAZ,9,8,serie_a
Romagnoli,D,Dc,LAZ,8,8,serie_a
Marusic,D,Dd;Ds;E,LAZ,8,8,serie_a
Ramadani,C,M;C,LEC,6,8,serie_a
Tomori,D,Dc,MIL,8,8,serie_a
Meret,P,Por,NAP,16,8,serie_a
Buongiorno,D,Dc,NAP,13,8,serie_a
Circati,D,Dc,PAR,5,8,serie_a
Benedyczak*,A,A,PAR,1,8,serie_a
El Aynaoui,C,M;C,ROM,9,8,serie_a
Turati,P,Por,SAS,7,8,serie_a
Muharemovic,D,Dc,SAS,5,8,serie_a
Fadera,C,W,SAS,6,8,serie_a
Maripan,D,Dc,TOR,7,8,serie_a
Zapata D.,A,Pc,TOR,20,8,serie_a
Ghilardi,D,Dc,ROM,4,8,serie_a
Tchatchoua*,D,Dd;E,VER,8,8,serie_a
Idzes,D,Dc,SAS,7,8,serie_a
Sottil,C,W;A,LEC,11,8,serie_a
Vergara,C,W;T,NAP,1,8,serie_a
Bailey*,C,W;A,ROM,16,8,serie_a
Matic,C,M;C,SAS,4,8,serie_a
Stulic,A,Pc,LEC,13,8,serie_a
Nicolussi Caviglia,C,M;C,PAR,9,8,serie_a
Diego Carlos,D,Dc,COM,5,8,serie_a
Solomon,A,W;A,FIO,7,8,serie_a
Vaz,A,Pc,ROM,10,8,serie_a
Garcia U.,D,B;Ds;E,SAS,3,8,serie_a
Djimsiti,D,Dc,ATA,8,7,serie_a
Kolasinac,D,B;Ds;E,ATA,7,7,serie_a
Tourè E.*,A,Pc,ATA,7,7,serie_a
Lucumì,D,Dc,BOL,8,7,serie_a
Obert,D,Ds;Dc,CAG,4,7,serie_a
Prati,C,M;C,TOR,3,7,serie_a
Felici,C,W,CAG,6,7,serie_a
Johnsen*,A,A,CRE,7,7,serie_a
Marcandalli,D,Dc,GEN,3,7,serie_a
Norton-Cuffy,D,Dd;E,GEN,3,7,serie_a
Weah*,C,E;W,JUV,7,7,serie_a
Miretti,C,C;T,JUV,5,7,serie_a
Provstgaard,D,Dc,LAZ,3,7,serie_a
Berisha M.,C,C;T,LEC,3,7,serie_a
Pierotti,C,W;A,LEC,10,7,serie_a
N'Dri,A,W;A,LEC,5,7,serie_a
Terracciano F.,D,Dd;Ds;E,CRE,2,7,serie_a
Gilmour,C,M;C,NAP,7,7,serie_a
Leoni*,D,Dc,PAR,7,7,serie_a
Semper,P,Por,PIS,3,7,serie_a
Angelino,D,E,ROM,15,7,serie_a
Pedersen,D,Dd;E,TOR,4,7,serie_a
Gineitis,C,C,TOR,5,7,serie_a
Ehizibue,D,Dd;E,UDI,5,7,serie_a
Frese,D,Ds;E,VER,3,7,serie_a
Bernede,C,C,VER,4,7,serie_a
Piotrowski,C,C,UDI,6,7,serie_a
Miller L.,C,M;C,UDI,3,7,serie_a
Sorensen O.,C,C,PAR,6,7,serie_a
Ilkhan,C,C;T,TOR,1,7,serie_a
Diouf,C,C,INT,7,7,serie_a
Buksa,A,Pc,UDI,9,7,serie_a
Elmas,C,W;T,NAP,11,7,serie_a
Gagliardini,C,M;C,VER,2,7,serie_a
Hien,D,Dc,ATA,11,6,serie_a
Kossounou,D,Dd;Dc,ATA,9,6,serie_a
Bellanova,D,E,ATA,13,6,serie_a
Sulemana I.,C,M;C,CAG,4,6,serie_a
Pessina Mas.,P,Por,BOL,1,6,serie_a
Aebischer,C,C,PIS,4,6,serie_a
Fabbian,C,C;T,FIO,10,6,serie_a
Dallinga,A,Pc,BOL,10,6,serie_a
Zappa,D,B;Dd;E,CAG,6,6,serie_a
Deiola,C,M;C,CAG,5,6,serie_a
Smolcic I.,D,Dd;Dc,COM,2,6,serie_a
Addai,A,W;A,COM,7,6,serie_a
Cutrone*,A,Pc,PAR,10,6,serie_a
Barbieri,D,Dd;Ds;E,CRE,3,6,serie_a
Ranieri L.,D,Ds;Dc,FIO,7,6,serie_a
Parisi,D,E,FIO,5,6,serie_a
Beltran L.*,A,A,FIO,7,6,serie_a
De Winter,D,Dd;Dc,MIL,8,6,serie_a
Cabal,D,B;Ds;E,JUV,5,6,serie_a
Joao Mario,D,E,BOL,8,6,serie_a
Tavares N.,D,Ds;E,LAZ,12,6,serie_a
Vecino*,C,M;C,LAZ,6,6,serie_a
Dele-Bashiru,C,C;T,LAZ,11,6,serie_a
Dia,A,Pc,LAZ,20,6,serie_a
Zanoli,D,Dd;E,UDI,3,6,serie_a
Zerbin,C,E;W,CRE,3,6,serie_a
Ordonez C.,C,M;C,PAR,5,6,serie_a
Caracciolo A.,D,Dc,PIS,4,6,serie_a
Tramoni M.,C,W;T,PIS,12,6,serie_a
Lipani,C,M;C,SAS,4,6,serie_a
Ismajli,D,Dc,TOR,8,6,serie_a
Njie,A,A,TOR,1,6,serie_a
Kamara H.,D,Ds;E,UDI,7,6,serie_a
Sanchez*,A,A,UDI,7,6,serie_a
